Label,SMS Text
Important,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
Important,Ok lar... Joking wif u oni...
Spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
Important,U dun say so early hor... U c already then say...
Important,"Nah I don't think he goes to usf, he lives around here though"
Spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, 41.50 to rcv"
Important,Even my brother is not like to speak with me. They treat me like aids patent.
Important,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
Spam,WINNER!! As a valued network customer you have been selected to receivea 4900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
Spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
Important,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
Spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
Spam,"URGENT! You have won a 1 week FREE membership in our 4100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
Important,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
Important,I HAVE A DATE ON SUNDAY WITH WILL!!
Spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
Important,Oh k...i'm watching here4
Important,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
Important,Fine if that44s the way u feel. That44s the way its gota b
Spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
Important,Is that seriously how you spell his name?
Important,I444m going to try for 2 months ha ha only joking
Important,So 4_ pay first lar... Then when is da stock comin...
Important,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
Important,Ffffffffff. Alright no way I can meet up with you sooner?
Important,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
Important,Lol your always so convincing.
Important,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
Important,"I'm back 4; we're packing the car now, I'll let you know if there's room"
Important,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
Important,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
Important,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
Important,K tell me anything about you.
Important,For fear of fainting with the of all that housework you just did? Quick have a cuppa
Spam,Thanks for your subscription to Ringtone UK your mobile will be charged 45/month Please confirm by replying YES or NO. If you reply NO you will not be charged
Important,Yup... Ok i go home look at the timings then i msg 4_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
Important,"Oops, I'll let you know when my roommate's done"
Important,I see the letter B on my car
Important,Anything lor... U decide...
Important,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
Important,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
Important,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
Spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
Important,WHO ARE YOU SEEING?
Important,Great! I hope you like your man well endowed. I am  5;  inches...
Important,No calls..messages..missed calls
Important,Didn't you get hep b immunisation in nigeria.
Important,"Fair enough, anything going on?"
Important,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
Important,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
Important,What you thinked about me. First time you saw me in class.
Important,"A gram usually runs like  5; , a half eighth is smarter though and gets you almost a whole second gram for  5;"
Important,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
Important,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
Spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
Important,Do you know what Mallika Sherawat did yesterday? Find out now @  4;URL4;
Spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
Important,"Sorry, I'll call later in meeting."
Important,Tell where you reached
Important,Yes..gauti and sehwag out of odi series.
Important,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
Important,Ha ha ha good joke. Girls are situation seekers.
Important,Its a part of checking IQ
Important,"Sorry my roommates took forever, it ok if I come by now?"
Important,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
Spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a 41500 Bonus Prize, call 09066364589"
Important,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
Spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or 41000. To claim txt DIS to 87121 18+6*41.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
Spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
Important,I plane to give on this month end.
Important,Wah lucky man... Then can save money... Hee...
Important,Finished class where are you.
Important,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
Important,K..k4where are you?how did you performed?
Important,U can call me now...
Important,I am waiting machan. Call me once you free.
Important,Thats cool. i am a gentleman and will treat you with dignity and respect.
Important,I like you peoples very much4 but am very shy pa.
Important,Does not operate after  5;  or what
Important,Its not the same here. Still looking for a job. How much do Ta's earn there.
Important,"Sorry, I'll call later"
Important,K. Did you call me just now ah? 
Important,Ok i am on the way to home hi hi
Important,You will be in the place of that man
Important,Yup next stop.
Important,"I call you later, don't have network. If urgnt, sms me."
Important,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
Important,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
Important,I'm really not up to it still tonight babe
Important,"Ela kano.,il download, come wen ur free.."
Important,Yeah do! Don444t stand to close tho- you444ll catch something!
Important,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
Important,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
Spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed 41000 cash or 45000 prize!
Important,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
Spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
Important,Watching telugu movie..wat abt u?
Important,i see. When we finish we have loads of loans to pay
Important,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""_x000D_
ham"""
Important,Please don't text me anymore. I have nothing else to say.
Important,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
Important,I'm still looking for a car to buy. And have not gone 4the driving test yet.
Important,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
Important,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
Important,Umma my life and vava umma love you lot dear
Important,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
Important,"Aight, I'll hit you up when I get some cash"
Important,How would my ip address test that considering my computer isn't a minecraft server
Important,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
Important,Dont worry. I guess he's busy.
Important,What is the plural of the noun research?
Important,Going for dinner.msg you after.
Important,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
Spam,GENT! We are trying to contact you. Last weekends draw shows that you won a 41000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
Important,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
Important,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
